Creator	Title	Date	Material	Measurement	Culture	Inscription	Location	State or Edition	Work Rights	Image Rights	Record Creation Date	Record Modification Date	Work ID	Image ID	Technique	External Link	Text Reference	Style or Period1	Style or Period2	Style or Period3	Style or Period4	Style or Period5	Extended Title	Subject1	Subject2	Subject3	Subject4	Subject5	Subject6	Subject7	Subject8	Subject9	Subject10	General Subject	Work Description	Work Description Source	Image Description	Related Works	Image Source	Local Call Number	Order Number	Course Number and Instructor	Order Description	Creator Name1	Creator Name2	Creator Name3	Creator Name4	Creator Name5	Creator Name6	Creator Name7	Creator Name8	Alternate Creator Name1	Alternate Creator Name2	Alternate Creator Name3	Alternate Creator Name4	Alternate Creator Name5	Alternate Creator Name6	Alternate Creator Name7	Alternate Creator Name8	Image Classification Term	Object Type1	Object Type2	Object Type3	Object Type4	Object Type5
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136215				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136216				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136217				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits			"We the people of this community claim this bldg in order to preserve what is ours."	Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, overall	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136218				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136219				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136220				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136221				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits			Black Laws	Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136222				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits			Black Laws	Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136223				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits			Black Laws	Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140136				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140137				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140138				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140139				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140140				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups			William Walker		Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140141				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140142				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140143				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140144				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140145				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140146				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140147				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140148				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140149				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140150				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140151				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140152				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140153				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups			William Walker		Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140154				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Protect the People's Homes	creation: 1970			American		United States, Illinois, Chicago, Irving Park and Sheridan [creation]				2/1/2013	11/12/2014	59744	7140155				Modern; 20th Century					Protect the People's Homes (cited, English, preferred)	Youth	Dwellings	City walls	Chicago (Ill.)	Cityscapes	Mural painting and decoration					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140156				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140157				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140158				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140159				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140160				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140161				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140162				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140163				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140167				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140168				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140169				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140170				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140171				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140172				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140173				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140174				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
Mark Rogovin (American artist, born 1946); Chicago Community Youth ( artist, 1970s); Public Art Workshop (American artist, active 1970s)	Break the Grip of the Absentee Landlord	creation: 1973			American		United States, Illinois, Chicago, 5219 West Madison Street [creation]				2/1/2013	11/12/2014	59745	7140175				Modern; 20th Century					Break the Grip of the Absentee Landlord (cited, English, preferred)	Youth	City walls	Apartments	Chicago (Ill.)	Mural painting and decoration	Landlord and tenant					cityscapes; figure groups					Mark Rogovin, original photography; For educational use only.		1082	Zorach		Rogovin, Mark	Public Art Workshop	Chicago Community Youth														painting	paintings; mural paintings				
